method	test_site	n	n_mod	n_unmod	auroc	balanced_accuracy	accuracy
Signal stats	Pooled	156	50	106	0.583019	0.545472	0.583333
Signal stats	S1	48	12	36	0.550926	0.486111	0.729167
Signal stats	S2	32	11	21	0.575758	0.510823	0.500000
Signal stats	S3	26	11	15	0.618182	0.630303	0.615385
Signal stats	S4	31	8	23	0.331522	0.298913	0.322581
Signal stats	S5	19	8	11	0.852273	0.738636	0.736842
Token frequency	Pooled	156	50	106	0.582264	0.555472	0.589744
Token frequency	S1	48	12	36	0.638889	0.583333	0.625000
Token frequency	S2	32	11	21	0.476190	0.541126	0.625000
Token frequency	S3	26	11	15	0.606061	0.536364	0.576923
Token frequency	S4	31	8	23	0.679348	0.633152	0.516129
Token frequency	S5	19	8	11	0.613636	0.568182	0.578947
OLMo embedding	Pooled	156	50	106	0.508491	0.514151	0.519231
OLMo embedding	S1	48	12	36	0.590278	0.611111	0.583333
OLMo embedding	S2	32	11	21	0.489177	0.512987	0.531250
OLMo embedding	S3	26	11	15	0.515152	0.493939	0.500000
OLMo embedding	S4	31	8	23	0.347826	0.339674	0.322581
OLMo embedding	S5	19	8	11	0.693182	0.659091	0.684211
