site_id	dataset	label	total_reads	plus_reads	minus_reads	pc1	pc2	oof_mod_probability	bootstrap_probability_median	bootstrap_probability_ci_low	bootstrap_probability_ci_high
S1	UNMOD	0	36	14	22	11.890837	-3.763363	0.717886	0.631792	0.157663	0.941998
S1	MOD	1	12	4	8	18.899877	-32.512022	0.694117	0.593292	0.070732	0.967606
S2	UNMOD	0	21	14	7	-2.389872	-0.520176	0.501342	0.493292	0.160274	0.793696
S2	MOD	1	11	6	5	-7.692480	13.360332	0.393551	0.352249	0.076935	0.748812
S3	UNMOD	0	15	7	8	2.713576	-4.457157	0.139782	0.352805	0.083662	0.780419
S3	MOD	1	11	6	5	-9.335291	-3.774833	0.166569	0.362348	0.057125	0.866710
S4	UNMOD	0	23	11	12	-22.305699	-3.344144	0.513826	0.492713	0.184778	0.836517
S4	MOD	1	8	3	5	-24.813567	-0.527220	0.424506	0.468532	0.120429	0.867626
S5	UNMOD	0	11	2	9	20.034269	26.718719	0.374897	0.328525	0.019387	0.913585
S5	MOD	1	8	5	3	12.998350	8.819864	0.365868	0.322813	0.047184	0.773322
