site_id	dataset	label	total_reads	plus_reads	minus_reads	pc1	pc2	oof_mod_probability	bootstrap_probability_median	bootstrap_probability_ci_low	bootstrap_probability_ci_high
S1	UNMOD	0	36	14	22	-30.041302	4.918645	0.620826	0.533716	0.331328	0.767579
S1	MOD	1	12	4	8	-26.062063	-4.658148	0.876457	0.762473	0.438158	0.940059
S2	UNMOD	0	21	14	7	1.965232	-28.360361	0.464051	0.483026	0.228027	0.761430
S2	MOD	1	11	6	5	23.555033	-16.988273	0.390517	0.411829	0.163347	0.704732
S3	UNMOD	0	15	7	8	-1.688245	24.022755	0.575764	0.511132	0.304191	0.735846
S3	MOD	1	11	6	5	-1.834863	29.071542	0.401605	0.413121	0.180653	0.702707
S4	UNMOD	0	23	11	12	26.918328	9.715869	0.399592	0.408005	0.168009	0.692691
S4	MOD	1	8	3	5	23.843281	5.199732	0.261021	0.301829	0.099874	0.642786
S5	UNMOD	0	11	2	9	-8.430725	-10.271799	0.118267	0.185502	0.035306	0.528881
S5	MOD	1	8	5	3	-8.224677	-12.649961	0.322186	0.358308	0.085459	0.757843
