site_id	dataset	label	total_reads	plus_reads	minus_reads	pc1	pc2	oof_mod_probability	bootstrap_probability_median	bootstrap_probability_ci_low	bootstrap_probability_ci_high
S1	UNMOD	0	36	14	22	12.849439	-10.894850	0.863794	0.593486	0.243149	0.873002
S1	MOD	1	12	4	8	7.616059	-24.740816	0.585499	0.411009	0.115127	0.776372
S2	UNMOD	0	21	14	7	-4.610784	0.651424	0.414307	0.429798	0.219474	0.674219
S2	MOD	1	11	6	5	-7.098252	10.026767	0.230875	0.268245	0.085437	0.638878
S3	UNMOD	0	15	7	8	-2.278826	-7.242678	0.354888	0.380403	0.150297	0.658251
S3	MOD	1	11	6	5	-7.080497	-8.019607	0.405368	0.423471	0.153113	0.716232
S4	UNMOD	0	23	11	12	-21.374124	5.638894	0.478971	0.481101	0.202074	0.785858
S4	MOD	1	8	3	5	-20.950542	8.662122	0.688742	0.617890	0.186422	0.916506
S5	UNMOD	0	11	2	9	24.990655	23.591609	0.462537	0.362513	0.033799	0.838189
S5	MOD	1	8	5	3	17.936872	2.327136	0.488270	0.380357	0.089391	0.757148
