site_id	dataset	read_id	site_pos0	window_start0	window_end0	strand	mapq
S1	MOD	250F500490011_2_142_195_22209422_76996	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_2_5140_186_33611303_161081	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_32_4135_735_569919590_187089	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_3_2156_211_53369092_386206	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_3_4203_294_53038231_124079	29096227	29096222	29096232	+	3
S1	MOD	250F500490011_40_5123_2718_704661469_31159	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_41_43_2006_714587982_149844	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_42_112_2443_732440568_359897	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_45_1066_3537_795101046_24675	29096227	29096222	29096232	+	1
S1	MOD	250F500490011_45_34_2733_791246587_808659	29096227	29096222	29096232	+	1
S1	MOD	250F500490011_4_211_360_68584328_93446	29096227	29096222	29096232	-	1
S1	MOD	250F500490011_53_137_2976_944995261_848196	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_1_1176_342_11155662_24083	29096227	29096222	29096232	-	8
S1	UNMOD	250F601844011_1_1347_19_432067_121568	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_1_1747_59_1831338_36293	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_1_1912_148_5463341_84454	29096227	29096222	29096232	-	12
S1	UNMOD	250F601844011_1_2244_284_14531010_61901	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_1_26_296_11156648_28171	29096227	29096222	29096232	-	5
S1	UNMOD	250F601844011_1_3134_32_967341_30630	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_1_3611_143_5374466_15300	29096227	29096222	29096232	-	8
S1	UNMOD	250F601844011_1_3946_96_3331791_53111	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_1_4025_27_1038616_35259	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_1_578_490_16379171_51356	29096227	29096222	29096232	+	60
S1	UNMOD	250F601844011_2_1133_480_28384576_25992	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_2_1157_762_26634548_35781	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_2_1327_595_21182157_62149	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_2_1438_869_31643543_39600	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_2_1523_799_27428666_76707	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_2_1885_706_27187319_37426	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_2_2239_149_24739078_41739	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_2_2239_403_35472765_82807	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_2_2331_547_26177381_75860	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_2_2386_154_25044155_76175	29096227	29096222	29096232	-	14
S1	UNMOD	250F601844011_2_3639_826_31289922_57953	29096227	29096222	29096232	-	4
S1	UNMOD	250F601844011_3_1291_758_37956529_52630	29096227	29096222	29096232	-	3
S1	UNMOD	250F601844011_3_2103_396_36199031_37144	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_3_3011_895_36567257_33088	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_3_3809_1206_42321927_38385	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_3_3957_1165_47660842_44312	29096227	29096222	29096232	-	5
S1	UNMOD	250F601844011_3_547_1305_48687144_28105	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_4_1767_1716_63423055_47166	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_4_2059_1014_65544783_22512	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_4_2137_1121_55734603_24350	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_4_2604_1303_58657261_30707	29096227	29096222	29096232	-	1
S1	UNMOD	250F601844011_4_3246_1143_56809577_21325	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_4_3832_1375_55713326_31435	29096227	29096222	29096232	+	1
S1	UNMOD	250F601844011_4_3871_1024_60029192_61305	29096227	29096222	29096232	+	2
S1	UNMOD	250F601844011_4_4097_880_56531574_51436	29096227	29096222	29096232	+	1
S2	MOD	250F500490011_1_1074_45_5283415_303362	40048033	40048028	40048038	+	6
S2	MOD	250F500490011_1_1277_106_12080434_269812	40048033	40048028	40048038	-	1
S2	MOD	250F500490011_1_2072_47_7086331_1094123	40048033	40048028	40048038	-	1
S2	MOD	250F500490011_2_3311_188_27686445_448393	40048033	40048028	40048038	+	5
S2	MOD	250F500490011_43_1201_3026_748382547_123444	40048033	40048028	40048038	-	16
S2	MOD	250F500490011_46_1191_3942_809132185_55063	40048033	40048028	40048038	-	1
S2	MOD	250F500490011_46_235_3404_805239555_325310	40048033	40048028	40048038	+	13
S2	MOD	250F500490011_4_5246_362_58363338_118674	40048033	40048028	40048038	+	8
S2	MOD	250F500490011_55_1058_2920_964181953_136757	40048033	40048028	40048038	+	1
S2	MOD	250F500490011_5_1123_428_87791381_71957	40048033	40048028	40048038	-	14
S2	MOD	250F500490011_5_46_457_74720627_144368	40048033	40048028	40048038	+	1
S2	UNMOD	250F601844011_1_1291_240_7018390_68762	40048033	40048028	40048038	+	29
S2	UNMOD	250F601844011_1_1676_387_12859956_29785	40048033	40048028	40048038	-	1
S2	UNMOD	250F601844011_1_3044_351_15967964_34005	40048033	40048028	40048038	+	25
S2	UNMOD	250F601844011_1_4011_227_7531469_74939	40048033	40048028	40048038	+	24
S2	UNMOD	250F601844011_2_2783_744_34891505_61153	40048033	40048028	40048038	-	27
S2	UNMOD	250F601844011_2_3352_541_21803162_110113	40048033	40048028	40048038	-	3
S2	UNMOD	250F601844011_2_3450_691_28303718_36181	40048033	40048028	40048038	+	1
S2	UNMOD	250F601844011_2_53_789_33476923_104066	40048033	40048028	40048038	+	1
S2	UNMOD	250F601844011_2_567_1012_35380040_63905	40048033	40048028	40048038	-	1
S2	UNMOD	250F601844011_3_1720_1385_51018409_66813	40048033	40048028	40048038	+	14
S2	UNMOD	250F601844011_3_3095_974_39214662_37374	40048033	40048028	40048038	-	3
