site_id	dataset	label	total_reads	plus_reads	minus_reads	pc1	pc2	oof_mod_probability	bootstrap_probability_median	bootstrap_probability_ci_low	bootstrap_probability_ci_high
S1	UNMOD	0	36	14	22	-14.106113	-7.685926	0.574236	0.569993	0.237636	0.862226
S1	MOD	1	12	4	8	-13.384583	-28.002082	0.551016	0.495580	0.110731	0.906191
S2	UNMOD	0	21	14	7	3.589062	-0.151523	0.308739	0.414458	0.168432	0.683865
S2	MOD	1	11	6	5	6.912696	12.188180	0.364422	0.358991	0.130989	0.755300
S3	UNMOD	0	15	7	8	0.519690	-5.682261	0.459518	0.392557	0.134175	0.749501
S3	MOD	1	11	6	5	8.082600	-6.558582	0.472246	0.436054	0.144464	0.755188
S4	UNMOD	0	23	11	12	22.365826	1.368456	0.447782	0.455030	0.205654	0.737878
S4	MOD	1	8	3	5	23.033135	3.965965	0.587007	0.571114	0.174566	0.889016
S5	UNMOD	0	11	2	9	-21.748704	25.673342	0.176265	0.201780	0.030172	0.740099
S5	MOD	1	8	5	3	-15.263607	4.884431	0.345398	0.302922	0.063320	0.736090
